question_content,is_drawing,answer_1,answer_2,answer_3,answer_4,sa_level
Mark the current positions of the robots,1,None,None,None,None,1
Mark the position of the target,1,None,None,None,None,1
How many robots are near the target?,0,0 to 5,5 to 10,10 to 15,15 to 20,2
Mark the positions of the robot after next 5 seconds,1,None,None,None,None,3
How many robots can reach the target region within next 10 seconds?,0,0 to 5,5 to 10,10 to 15,15 to 20,3
How much time do you have to complete the task?,0,1 to 3 mins,3 to 5 mins,5 to 7 mins,7 to 10 mins,1
How much time have elapsed since you have started doing the task?,0,1 to 3 mins,3 to 5 mins,5 to 7 mins,7 to 10 mins,2
How many dangerous regions are there currently?,0,0,1,2,3 or more,1
Mark the currently activated dangerous regions,1,None,None,None,None,2
Mark the  currently activated dangerous regions with the highest radius,1,None,None,None,None,2
